city,total_population,population_growth,indigenous_population,population_density,dwelling_house,dwelling_attached,dwelling_apartment,dwelling_other,household_size,tenure_owned,tenure_mortgage,tenure_rent,tenure_other,life_expectancy,income_quintile,non_english_speaking,age_0_14,age_15_64,age_65,median_age,housing_price,unit_price,sector_goods,sector_market,sector_nonmarket,disability,household_income,lg_fragmentation,house_price_to_income_ratio,housing_construction_costs,public_housing,homelessness,mortgage_stress,rent_stress,building_approvals,housing_stress,jobs_accessible_proportion,jobs_accessible_number,public_transport,active_transport,peak_travel_delay,knowledge_industries,broadband_connections,new_business,patent_application,obesity,safety,access_to_open_space,crisis_support,suicide,air_quality,volunteering,greenhouse_gas,office_energy_efficiency,public_transport_access,employment_growth,unemployment,youth_unemployment,participation,education_year_12,education_certificate,education_bachelor,gross_regional_product
Wollongong,298431,0.010398041,0.03,3802.657678,0.705128095,0.133087291,0.149427864,0.012356751,2.6,0.362104132,0.329827773,0.291303093,0.016765001,81.88920139,0.223658896,0.155,0.184256997,0.643632867,0.172110136,38.6,810092.7232,605094.9997,0.193662462,0.523010086,0.283586943,0.066193021,70044,3,9.306504013,1335,0.069553586,355,0.216545096,0.465051367,678.5488103,0.196941263,0.94999312,95098.11124,0.073,0.035,0.265,0.114250194,0.827,0.156859321,23.93486299,0.298891367,0.529656135,0.4404,0.932630285,10.4512507,7.056899226,0.193,11.7,4.470995816,0.1856,0.027104072,0.04605764,0.119850624,0.601212131,0.4715288,0.327046014,0.205831497,49500
Ballarat,103581,0.017510108,0.015,2079.042644,0.812389581,0.145934315,0.037689694,0.00398641,2.4,0.327134336,0.336851197,0.321169262,0.014845205,81.65308262,0.248217288,0.058,0.195643989,0.636661164,0.167694848,37,371782.5427,269009.2858,0.257773363,0.433397551,0.295874489,0.064361112,60268,2,5.336716311,1355,0.045446578,411,0.167904365,0.402222433,851.5075159,0.177942079,0.999955119,45408.9619,0.04,0.041,999.01,0.107999407,0.828,0.119783331,7.526153383,0.336515114,0.46521058,0.5816,0.960000242,13.06078285,999.01,0.238,13.2,999.01,0.0832,0.007179694,0.046556985,0.077661306,0.619084498,0.49734554,0.301273949,0.218318161,53300
Bendigo,97470,0.018352523,0.019,1728.889134,0.872928575,0.099764638,0.021182574,0.006124213,2.4,0.327046733,0.348002067,0.31145941,0.01349179,81.58367047,0.233612102,0.054,0.196244998,0.63294347,0.170811532,37.1,363545.7733,476768.6069,0.260443011,0.406967543,0.327304901,0.063288278,61152,1,5.15923353,1355,0.044758727,285,0.166792311,0.400228405,690.4688622,0.175364759,0.999864724,41027.44921,0.026,0.046,999.01,0.103872133,0.824,0.113675616,11.62692373,0.336874952,0.465917029,0.4321,0.959087181,10.0768685,999.01,0.247,9.7,999.01,0.3284,0.005534516,0.078059847,0.131068528,0.589257659,0.46416891,0.315906206,0.194793276,56800
Geelong,261208,0.02410977,0.011,2573.316954,0.84294526,0.116107395,0.03246835,0.008478996,2.5,0.354319392,0.354486508,0.273624635,0.017569465,81.82700597,0.224876521,0.109,0.188279073,0.636370249,0.175350678,38.7,561866.564,431947.2489,0.227547632,0.424540146,0.347007543,0.06122956,66976,3,7.122557575,1355,0.034395738,317,0.184623166,0.412646131,1106.01513,0.169734944,0.894826651,90043.72136,0.063,0.039,999.01,0.109716401,0.839,0.137435461,22.88927777,0.28906044,0.564026668,0.4524,0.957487571,10.60554579,7.507529594,0.229,12.2,4.788576849,0.2421,0.02247115,0.061173561,0.101853942,0.620544355,0.521712956,0.318977635,0.22807218,49000
Cairns,151215,0.012600331,0.098,3027.048735,0.660999477,0.104610407,0.208792603,0.025597513,2.5,0.243616731,0.336023077,0.40533271,0.015027482,81.00544955,0.206831641,0.154,0.205211123,0.670905664,0.123883213,37,454420.1683,270662.2946,0.165451755,0.508403073,0.320613466,0.046442568,69628,1,5.184166975,1505,0.040459115,850,0.201037613,0.410219303,449.6908375,0.225007089,0.981833371,63056.28459,0.031,0.058,999.01,0.064622267,0.851,0.134305755,10.30026972,0.301732153,0.349828337,0.4385,0.929850132,17.60366196,999.01,0.205,13.4,4.308397431,0.1163,-0.003868537,0.05905537,0.161581066,0.644158834,0.561644505,0.344149306,0.199970936,56900
Gold Coast - Tweed,662707,0.021821602,0.021,4828.968744,0.547024604,0.205069508,0.228641906,0.019263982,2.5,0.292906743,0.332544347,0.357850191,0.016698719,82.70950893,0.199928443,0.123,0.181635323,0.646228273,0.172136404,39,744006.2427,493302.3401,0.206804557,0.550057438,0.243408593,0.055004306,70668,2,7.020309031,1405,0.022118244,318,0.253263217,0.492892007,964.6797152,0.250355934,0.856154768,219497.5348,0.046,0.038,999.01,0.100151566,0.873,0.167032054,31.81031986,0.289626235,0.533449048,0.5948,0.930538585,13.77415611,999.01,0.166,14.1,3.377002236,0.2645,0.034642829,0.04371527,0.097565638,0.672878633,0.555842232,0.337122269,0.19641118,49200
Mackay,80092,-0.001224079,0.06,2206.13783,0.778109684,0.128853572,0.073170732,0.019866013,2.5,0.26412728,0.351023041,0.363242197,0.021607482,82.23472954,0.207256581,0.075,0.210395545,0.66251311,0.127091345,36.2,354093.5481,228861.8981,0.30700172,0.462836208,0.218385536,0.047973153,75296,1,4.456652275,1615,0.046089018,354,0.209328927,0.335410896,230.984368,0.185927801,1,36947,0.03,0.036,999.01,0.083218635,0.838,0.111556982,18.61745184,0.340389381,0.46758134,0.5436,0.933799119,15.82490484,8.569137462,0.2,17.2,999.01,999.01,-0.002625007,0.042262993,0.103219355,0.747458697,0.476589549,0.351574715,0.143287916,120000
Sunshine Coast,325105,0.024066857,0.02,2616.271961,0.68281992,0.137049584,0.155205879,0.024924617,2.5,0.350103215,0.32252698,0.298974819,0.028394986,83.17286719,0.210221748,0.056,0.181061503,0.614127743,0.204810753,43.2,702701.6037,502199.0471,0.214021944,0.454327304,0.331094119,0.059745633,65780,2,7.945339457,1405,0.023015584,242,0.241437323,0.497826378,1290.659941,0.214857481,0.760139259,91896.27555,0.027,0.037,999.01,0.104008093,0.878,0.146835217,18.85552629,0.28424772,0.598984708,0.5577,0.933267997,13.04654868,999.01,0.22,13.1,3.148053424,0.2569,0.034349962,0.056134508,0.124983213,0.620915345,0.533615649,0.35016234,0.198496364,44600
Toowoomba,135313,0.010411068,0.042,1992.591965,0.789873739,0.145091067,0.058558885,0.006476308,2.5,0.313897507,0.334695624,0.333347598,0.01805927,82.43921716,0.205344843,0.078,0.20497661,0.628187979,0.166835411,36.8,435402.0635,306082.7937,0.260922485,0.421374846,0.311541242,0.060169546,67860,1,5.032118761,1435,0.029211835,330,0.160774043,0.387992253,867.6180411,0.176574196,0.991956945,56417.55123,0.012,0.042,999.01,0.079104851,0.838,0.124505929,22.14594176,0.357700639,0.489994736,0.4261,0.92885177,11.11936748,999.01,0.23,12.6,3.999226452,999.01,0.017370873,0.05180096,0.11258437,0.646150084,0.516630132,0.311237534,0.205337082,58800
Townsville,179822,0.010247481,0.078,2423.850208,0.769957506,0.119806923,0.09656614,0.013669431,2.6,0.226860616,0.352014214,0.405682309,0.015442861,81.24824023,0.185766777,0.081,0.204958236,0.68046179,0.114579974,33.3,359841.6335,328170.5682,0.171001511,0.415420572,0.415027836,0.052351275,74984,1,4.344189207,1505,0.044774067,437,0.185396399,0.358279428,406.5131074,0.203360749,0.997466256,78051.73457,0.021,0.048,999.01,0.0472692,0.857,0.131714971,22.45344737,0.313506481,0.37851147,0.4478,0.932446166,14.93626616,7.639121823,0.203,17.8,3.952589919,0.1586,-0.012552111,0.089163547,0.203479337,0.667122417,0.552728611,0.324380062,0.184537029,66300
Launceston,86404,0.001436661,0.034,2098.492561,0.804053342,0.096115328,0.093532574,0.006298756,2.3,0.327567938,0.333364498,0.322332336,0.016735228,80.07559227,0.27268483,0.07,0.179204666,0.641336049,0.179459284,39.4,356081.8386,268138.5274,0.178911822,0.527993542,0.295075959,0.067791214,56472,3,5.279141608,1495,0.062404299,329,0.145603229,0.423395897,406.231193,0.177440611,1,38168,0.025,0.061,999.01,0.103718931,0.812,0.110040161,14.15736797,0.324912171,0.504454964,0.375,0.956094039,13.92313594,8.1,0.22,10.3,999.01,999.01,0.006349871,0.058353904,0.161819204,0.63180243,0.429506897,0.286072077,0.188579977,61900
Western Sydney,1079266,0.019607795,0.027,4235.784722,0.801506397,0.113414039,0.079560996,0.005518568,3,0.274766834,0.410428782,0.29980859,0.014995794,82.60067686,0.170782711,0.362,0.212056157,0.663357319,0.124586525,35.1,825910.1,495446.9,0.25291672,0.512590298,0.23427399,0.062592896,80692,8,999.01,999.01,0.058117971,551,0.271588249,0.470487918,1300.791464,0.215225235,999.01,999.01,0.138,0.02,999.01,0.11495331,0.857,0.170469533,11.85892683,0.303143229,0.41073381,0.4818,0.928259632,8.870494455,999.01,0.147,13.5,4.31102851,0.1691,0.026390992,0.048701571,0.096553658,0.639034673,0.534572714,0.298469239,0.203534362,43600
